Filename,City,M0_IoU,M2_IoU
dunedin_230.tif,dunedin,0.868420,0.859040
dunedin_231.tif,dunedin,0.861436,0.873965
dunedin_232.tif,dunedin,0.814868,0.822421
dunedin_233.tif,dunedin,0.885934,0.824611
dunedin_234.tif,dunedin,0.814478,0.833384
dunedin_235.tif,dunedin,0.885740,0.908156
dunedin_236.tif,dunedin,0.857299,0.912844
dunedin_237.tif,dunedin,0.643334,0.767114
dunedin_238.tif,dunedin,0.776880,0.844995
dunedin_239.tif,dunedin,0.844937,0.862129
dunedin_24.tif,dunedin,0.847653,0.865789
dunedin_240.tif,dunedin,0.698670,0.775023
dunedin_241.tif,dunedin,0.865833,0.874970
dunedin_242.tif,dunedin,0.787896,0.871282
dunedin_243.tif,dunedin,0.874563,0.857569
dunedin_244.tif,dunedin,0.853199,0.870138
dunedin_245.tif,dunedin,0.844026,0.863581
dunedin_246.tif,dunedin,0.892685,0.799156
dunedin_247.tif,dunedin,1.000000,0.000000
dunedin_248.tif,dunedin,0.972879,0.978033
dunedin_249.tif,dunedin,0.836562,0.853546
dunedin_25.tif,dunedin,0.746198,0.725663
dunedin_250.tif,dunedin,0.817728,0.870772
dunedin_251.tif,dunedin,0.820187,0.849681
dunedin_252.tif,dunedin,0.734539,0.823282
dunedin_253.tif,dunedin,0.850070,0.874352
dunedin_254.tif,dunedin,0.693797,0.718320
dunedin_255.tif,dunedin,0.620875,0.689397
dunedin_256.tif,dunedin,0.879518,0.882676
dunedin_257.tif,dunedin,0.852012,0.867233
dunedin_258.tif,dunedin,0.837949,0.862359
dunedin_259.tif,dunedin,0.798660,0.800941
dunedin_26.tif,dunedin,0.744849,0.825812
dunedin_260.tif,dunedin,1.000000,0.000000
dunedin_261.tif,dunedin,0.814629,0.812081
dunedin_262.tif,dunedin,0.805376,0.824629
dunedin_263.tif,dunedin,0.828267,0.854179
dunedin_264.tif,dunedin,0.824091,0.842284
dunedin_265.tif,dunedin,0.869761,0.864333
dunedin_266.tif,dunedin,0.872966,0.868726
dunedin_267.tif,dunedin,0.859405,0.865042
dunedin_268.tif,dunedin,0.852712,0.856840
dunedin_269.tif,dunedin,0.846166,0.850509
dunedin_27.tif,dunedin,0.000000,0.000000
dunedin_270.tif,dunedin,0.831529,0.861420
dunedin_271.tif,dunedin,0.855732,0.870096
dunedin_272.tif,dunedin,0.861615,0.736439
dunedin_273.tif,dunedin,0.696007,0.673754
dunedin_274.tif,dunedin,0.858191,0.853211
dunedin_275.tif,dunedin,0.762461,0.827573
dunedin_276.tif,dunedin,0.841048,0.863829
dunedin_277.tif,dunedin,0.751904,0.791855
dunedin_278.tif,dunedin,0.789372,0.829546
dunedin_279.tif,dunedin,0.784370,0.846455
dunedin_28.tif,dunedin,0.410463,0.701924
dunedin_280.tif,dunedin,0.849018,0.855705
dunedin_281.tif,dunedin,0.867016,0.866811
dunedin_282.tif,dunedin,0.855500,0.872796
dunedin_283.tif,dunedin,0.852750,0.866363
dunedin_284.tif,dunedin,0.870823,0.862102
dunedin_285.tif,dunedin,0.800371,0.807709
dunedin_286.tif,dunedin,0.735537,0.750218
