image_id,region,mIoU,F1,Boundary_IoU
dunedin_1244,Dunedin,0.7931682858040825,0.8846557147851208,0.4288247974039433
dunedin_1245,Dunedin,0.6275429475608751,0.7711537793834549,0.3928780896573701
dunedin_1246,Dunedin,1.0,1.0,1.0
dunedin_1247,Dunedin,0.4861932939109372,0.6542800265542708,0.1350746269302183
dunedin_1248,Dunedin,0.44557871355240997,0.6164710497936494,0.16146411029691865
dunedin_1249,Dunedin,7.142857137755102e-10,7.142857137755102e-10,4.901960781910803e-10
dunedin_125,Dunedin,0.7840858576250455,0.878977717662565,0.301289416579838
dunedin_1250,Dunedin,0.2706493506619801,0.42600163533079854,0.3857142857329571
dunedin_1251,Dunedin,0.19714755477690074,0.32936216423606834,0.17033293699211755
dunedin_1252,Dunedin,1.0,1.0,1.0
dunedin_1253,Dunedin,1.0,1.0,1.0
dunedin_1254,Dunedin,1.0,1.0,1.0
dunedin_1255,Dunedin,2.104820037842458e-11,2.104820037842458e-11,5.760368663262651e-11
dunedin_1256,Dunedin,3.452085059363946e-12,3.452085059363946e-12,2.6624068156905642e-11
dunedin_1257,Dunedin,4.878048778108268e-10,4.878048778108268e-10,4.54545454338843e-10
dunedin_1258,Dunedin,1.0,1.0,1.0
dunedin_1259,Dunedin,1.0,1.0,1.0
dunedin_126,Dunedin,0.4886975600043591,0.6565437777735825,0.25666854249152127
dunedin_1260,Dunedin,1.0,1.0,1.0
dunedin_1261,Dunedin,1.0,1.0,1.0
dunedin_1262,Dunedin,1.0,1.0,1.0
dunedin_1263,Dunedin,1.0,1.0,1.0
dunedin_1264,Dunedin,1.0,1.0,1.0
dunedin_1265,Dunedin,1.0,1.0,1.0
dunedin_1266,Dunedin,1.0,1.0,1.0
dunedin_1267,Dunedin,1.0,1.0,1.0
dunedin_1268,Dunedin,1.0,1.0,1.0
dunedin_1269,Dunedin,1.0,1.0,1.0
dunedin_127,Dunedin,0.583298454739443,0.7368142790680785,0.40488423723626743
dunedin_1270,Dunedin,1.0,1.0,1.0
dunedin_1271,Dunedin,1.0,1.0,1.0
dunedin_1272,Dunedin,1.0,1.0,1.0
dunedin_1273,Dunedin,2.3732111920583496e-12,2.3732111920583496e-12,9.286775631414498e-12
dunedin_1274,Dunedin,3.58808754920746e-11,3.58808754920746e-11,5.227391531352462e-11
dunedin_1275,Dunedin,0.6699340749253899,0.8023479309566949,0.2773797639342376
dunedin_1276,Dunedin,0.7594992373129223,0.8633129486009018,0.43773798118397883
dunedin_1277,Dunedin,0.6738280488917949,0.8051341347013455,0.390186099886768
dunedin_1278,Dunedin,0.7981193670490134,0.8877267901950108,0.45691598464804345
dunedin_1279,Dunedin,0.7805506012315452,0.8767519448103038,0.5151605011502826
dunedin_128,Dunedin,0.7962865201589824,0.8865918785477727,0.47831785604875116
dunedin_1280,Dunedin,0.6814613608587784,0.8105584543561616,0.4531818843758721
dunedin_1281,Dunedin,0.7655071001537395,0.8671809930268853,0.4415524694206906
dunedin_1282,Dunedin,0.8405316111287908,0.9133574300451501,0.4246905089428312
dunedin_1283,Dunedin,0.7979062079111185,0.8875949194678122,0.5065356059865467
dunedin_1284,Dunedin,0.2628296957981679,0.41625517149534147,0.17909329337855512
dunedin_1285,Dunedin,1.0,1.0,1.0
dunedin_1286,Dunedin,1.0,1.0,1.0
dunedin_1287,Dunedin,1.0,1.0,1.0
dunedin_1288,Dunedin,1.2282899746957177e-12,1.2282899746957177e-12,1.807664497436593e-11
dunedin_1289,Dunedin,1.0,1.0,1.0
dunedin_129,Dunedin,0.38225239539996025,0.5530862477373796,0.14240077445167085
dunedin_1290,Dunedin,1.0,1.0,1.0
dunedin_1291,Dunedin,1.0,1.0,1.0
dunedin_1292,Dunedin,1.0,1.0,1.0
dunedin_1293,Dunedin,1.0,1.0,1.0
dunedin_1294,Dunedin,1.0,1.0,1.0
dunedin_1295,Dunedin,1.0,1.0,1.0
dunedin_1296,Dunedin,1.0,1.0,1.0
dunedin_1297,Dunedin,1.0,1.0,1.0
dunedin_1298,Dunedin,1.0,1.0,1.0
dunedin_1299,Dunedin,1.0,1.0,1.0
dunedin_13,Dunedin,0.7558110202178248,0.8609252493742848,0.5158340493462881
dunedin_130,Dunedin,1.1764705868512112e-09,1.1764705868512112e-09,5.847953212954413e-10
dunedin_1300,Dunedin,1.0,1.0,1.0
dunedin_1301,Dunedin,1.0,1.0,1.0
dunedin_1302,Dunedin,1.0,1.0,1.0
dunedin_1303,Dunedin,1.0,1.0,1.0
dunedin_1304,Dunedin,1.0,1.0,1.0
dunedin_1305,Dunedin,1.0,1.0,1.0
dunedin_1306,Dunedin,1.0,1.0,1.0
dunedin_1307,Dunedin,1.0,1.0,1.0
dunedin_1308,Dunedin,1.0,1.0,1.0
dunedin_1309,Dunedin,1.0,1.0,1.0
dunedin_131,Dunedin,6.020469596266076e-11,6.020469596266076e-11,9.532888464296197e-11
