method,seed,image_id,path,tp,fp,fn,pred_area,gt_area,iou,f1,biou
UNetFormer-style ResNet34,123,kitsap_1108,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1108.tif,3744,218,2449,3962,6193,0.58399626,0.73737075,0.51849786
UNetFormer-style ResNet34,123,kitsap_1109,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1109.tif,4098,439,5660,4537,9758,0.40188291,0.57334732,0.42034329
UNetFormer-style ResNet34,123,kitsap_1110,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1110.tif,13076,2172,1162,15248,14238,0.79683120,0.88692939,0.72846030
UNetFormer-style ResNet34,123,kitsap_1111,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1111.tif,14426,1928,3353,16354,17779,0.73202415,0.84528169,0.66769073
UNetFormer-style ResNet34,123,kitsap_1112,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1112.tif,0,0,0,0,0,1.00000000,1.00000000,1.00000000
UNetFormer-style ResNet34,123,kitsap_1113,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1113.tif,2865,630,5865,3495,8730,0.30608974,0.46871166,0.32247248
UNetFormer-style ResNet34,123,kitsap_1114,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1114.tif,10623,727,5325,11350,15948,0.63706147,0.77829878,0.55264908
UNetFormer-style ResNet34,123,kitsap_1115,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1115.tif,4950,630,5761,5580,10711,0.43646945,0.60769750,0.42694883
UNetFormer-style ResNet34,123,kitsap_1116,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1116.tif,2664,127,5607,2791,8271,0.31721839,0.48164889,0.33002523
UNetFormer-style ResNet34,123,kitsap_1117,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1117.tif,0,0,0,0,0,1.00000000,1.00000000,1.00000000
UNetFormer-style ResNet34,123,kitsap_1118,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1118.tif,10547,1210,4124,11757,14671,0.66412694,0.79816861,0.61779793
UNetFormer-style ResNet34,123,kitsap_1119,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1119.tif,16752,935,12298,17687,29050,0.55867934,0.71686244,0.49380191
UNetFormer-style ResNet34,123,kitsap_112,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_112.tif,0,0,0,0,0,1.00000000,1.00000000,1.00000000
UNetFormer-style ResNet34,123,kitsap_1120,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1120.tif,8365,607,4260,8972,12625,0.63217956,0.77464463,0.59469611
UNetFormer-style ResNet34,123,kitsap_1121,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1121.tif,17647,1643,9055,19290,26702,0.62257894,0.76739433,0.56213203
UNetFormer-style ResNet34,123,kitsap_1123,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1123.tif,12285,2015,7201,14300,19486,0.57136877,0.72722429,0.53684346
UNetFormer-style ResNet34,123,kitsap_1124,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1124.tif,8894,630,3342,9524,12236,0.69127934,0.81746324,0.56165069
UNetFormer-style ResNet34,123,kitsap_1126,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1126.tif,0,0,0,0,0,1.00000000,1.00000000,1.00000000
UNetFormer-style ResNet34,123,kitsap_1127,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1127.tif,923,734,17,1657,940,0.55137395,0.71082018,0.40778558
UNetFormer-style ResNet34,123,kitsap_1128,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1128.tif,1026,250,2057,1276,3083,0.30783078,0.47075017,0.31695751
UNetFormer-style ResNet34,123,kitsap_1129,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1129.tif,7301,1744,3790,9045,11091,0.56883522,0.72516885,0.54017903
UNetFormer-style ResNet34,123,kitsap_113,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_113.tif,0,0,0,0,0,1.00000000,1.00000000,1.00000000
UNetFormer-style ResNet34,123,kitsap_1130,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1130.tif,6815,448,2789,7263,9604,0.67797453,0.80808680,0.58418552
UNetFormer-style ResNet34,123,kitsap_1131,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1131.tif,19387,1803,7429,21190,26816,0.67741710,0.80769071,0.62925862
UNetFormer-style ResNet34,123,kitsap_1132,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1132.tif,18103,2452,5816,20555,23919,0.68647378,0.81409363,0.62332696
UNetFormer-style ResNet34,123,kitsap_1133,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1133.tif,4729,215,2963,4944,7692,0.59807765,0.74849636,0.58227966
UNetFormer-style ResNet34,123,kitsap_1134,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1134.tif,0,0,0,0,0,1.00000000,1.00000000,1.00000000
UNetFormer-style ResNet34,123,kitsap_1135,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1135.tif,0,0,0,0,0,1.00000000,1.00000000,1.00000000
UNetFormer-style ResNet34,123,kitsap_1136,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1136.tif,0,509,0,509,0,0.00000000,0.00000000,0.00000000
UNetFormer-style ResNet34,123,kitsap_1137,/path/to/project/data/raw/whu_mix_full_test/test/image/kitsap_1137.tif,0,675,0,675,0,0.00000000,0.00000000,0.00000000
