image_name,region_prefix,seed,model,mIoU,F1,Boundary_IoU
khartoum_104,Khartoum,456,DeepLabv3+ ResNet50,0.5060848233968588,0.6720535464334156,0.2020277296374315
khartoum_105,Khartoum,456,DeepLabv3+ ResNet50,0.43702789662514613,0.6082385702480493,0.21323825004944116
khartoum_106,Khartoum,456,DeepLabv3+ ResNet50,0.13684449146464844,0.24074443336909024,0.08982399353540538
khartoum_107,Khartoum,456,DeepLabv3+ ResNet50,0.07155342866237636,0.13355083703345141,0.09716613658615171
khartoum_108,Khartoum,456,DeepLabv3+ ResNet50,8.7214372927898e-12,8.7214372927898e-12,2.866972476982025e-11
khartoum_109,Khartoum,456,DeepLabv3+ ResNet50,0.07477721815043051,0.1391492429859562,0.07192254497298474
khartoum_11,Khartoum,456,DeepLabv3+ ResNet50,0.3763129301015555,0.5468421052651454,0.15502283105987416
khartoum_110,Khartoum,456,DeepLabv3+ ResNet50,0.43237313510032427,0.6037157839734675,0.17827298050533918
khartoum_111,Khartoum,456,DeepLabv3+ ResNet50,0.4870383675822862,0.6550447899658349,0.22941109465946144
khartoum_112,Khartoum,456,DeepLabv3+ ResNet50,0.43922404126542924,0.6103622906118849,0.21059876118511597
khartoum_113,Khartoum,456,DeepLabv3+ ResNet50,0.45248079958988846,0.6230454815202583,0.21963726739461778
khartoum_114,Khartoum,456,DeepLabv3+ ResNet50,0.31997013171507616,0.484814199998623,0.174293913307706
khartoum_115,Khartoum,456,DeepLabv3+ ResNet50,0.38429395523199844,0.5552201593877786,0.2087026006116361
khartoum_116,Khartoum,456,DeepLabv3+ ResNet50,0.45604020189167527,0.6264115527840314,0.19099675226974422
khartoum_117,Khartoum,456,DeepLabv3+ ResNet50,0.4168845336398359,0.5884523738412295,0.2017269069931755
khartoum_118,Khartoum,456,DeepLabv3+ ResNet50,0.5984220260115153,0.7487659907998672,0.22480053402965003
khartoum_119,Khartoum,456,DeepLabv3+ ResNet50,0.5051186860170434,0.6712011361091004,0.23890761661980936
khartoum_12,Khartoum,456,DeepLabv3+ ResNet50,0.2281669951635403,0.3715569561166965,0.13461237450161084
khartoum_121,Khartoum,456,DeepLabv3+ ResNet50,0.1783604518688117,0.30272647318115453,0.08395721926766565
khartoum_122,Khartoum,456,DeepLabv3+ ResNet50,0.07477818045633157,0.13915090911858619,0.1370130322730712
khartoum_126,Khartoum,456,DeepLabv3+ ResNet50,0.3571568755745219,0.526331011545814,0.21317264574432077
khartoum_127,Khartoum,456,DeepLabv3+ ResNet50,0.4939211618262511,0.6612412682102704,0.21331419343403318
khartoum_128,Khartoum,456,DeepLabv3+ ResNet50,0.5712971481144995,0.727166276346776,0.2255152781795447
khartoum_129,Khartoum,456,DeepLabv3+ ResNet50,0.5438576725325769,0.7045437959838227,0.22603661820270257
khartoum_13,Khartoum,456,DeepLabv3+ ResNet50,0.31650044084276374,0.4808208657187301,0.18685523934761825
khartoum_130,Khartoum,456,DeepLabv3+ ResNet50,0.5009045191338247,0.6674701991339914,0.21330237187038578
khartoum_131,Khartoum,456,DeepLabv3+ ResNet50,0.4982582952058916,0.6651166848868231,0.20991864007420186
khartoum_132,Khartoum,456,DeepLabv3+ ResNet50,0.4795384379590117,0.6482270763040547,0.22146492508235496
khartoum_133,Khartoum,456,DeepLabv3+ ResNet50,0.33239592969596227,0.4989446789609268,0.16810301800429872
khartoum_134,Khartoum,456,DeepLabv3+ ResNet50,0.23371284932948774,0.3788772232624314,0.19277037037515393
khartoum_135,Khartoum,456,DeepLabv3+ ResNet50,0.2502928870299161,0.4003748075768688,0.085940109097501
khartoum_136,Khartoum,456,DeepLabv3+ ResNet50,0.39784819106883595,0.5692294679897721,0.22933168317785482
khartoum_138,Khartoum,456,DeepLabv3+ ResNet50,3.091190108096099e-11,3.091190108096099e-11,3.0543677457833116e-11
khartoum_139,Khartoum,456,DeepLabv3+ ResNet50,0.43470470183688825,0.6059849128250837,0.21933502340474192
khartoum_14,Khartoum,456,DeepLabv3+ ResNet50,0.427672716181726,0.5991187074378428,0.21970771850280973
khartoum_140,Khartoum,456,DeepLabv3+ ResNet50,0.3040411078221494,0.46630601749887624,0.17210972422586748
khartoum_141,Khartoum,456,DeepLabv3+ ResNet50,0.4086888657655608,0.5802400738692519,0.2564495070021514
khartoum_142,Khartoum,456,DeepLabv3+ ResNet50,0.5233205209115676,0.687078672843229,0.218357804939672
khartoum_143,Khartoum,456,DeepLabv3+ ResNet50,0.424342105452519,0.5958429562134312,0.3977011495637468
khartoum_144,Khartoum,456,DeepLabv3+ ResNet50,0.6730490281413605,0.804577770071433,0.2905567394826148
khartoum_145,Khartoum,456,DeepLabv3+ ResNet50,0.32039990478538394,0.4853073733554306,0.1992597162294925
khartoum_146,Khartoum,456,DeepLabv3+ ResNet50,0.07253080539898608,0.13525169633085704,0.1489241755184209
khartoum_15,Khartoum,456,DeepLabv3+ ResNet50,0.37208003417100216,0.5423590824205202,0.19548793831503417
khartoum_150,Khartoum,456,DeepLabv3+ ResNet50,0.42334880551949994,0.5948630495597579,0.24646180759797753
khartoum_151,Khartoum,456,DeepLabv3+ ResNet50,0.45425162280868886,0.624722181064093,0.21436767207942925
khartoum_152,Khartoum,456,DeepLabv3+ ResNet50,0.4468230321969749,0.6176609333046506,0.2583092057376978
khartoum_153,Khartoum,456,DeepLabv3+ ResNet50,0.4653781349240727,0.6351645678784341,0.21427660605642734
khartoum_154,Khartoum,456,DeepLabv3+ ResNet50,0.5541873000589238,0.7131538136198698,0.22553410176032937
khartoum_155,Khartoum,456,DeepLabv3+ ResNet50,0.6828358209053844,0.8115299334846354,0.40381282497733756
khartoum_156,Khartoum,456,DeepLabv3+ ResNet50,0.8343620701361029,0.9097027067005262,0.31731210777104984
khartoum_157,Khartoum,456,DeepLabv3+ ResNet50,0.14290811775370618,0.2500780518277135,0.19406468823478448
khartoum_158,Khartoum,456,DeepLabv3+ ResNet50,0.12076620576034408,0.21550650820688683,0.13850795392604448
khartoum_159,Khartoum,456,DeepLabv3+ ResNet50,1.8382352937797362e-10,1.8382352937797362e-10,1.2210012208521367e-10
khartoum_16,Khartoum,456,DeepLabv3+ ResNet50,0.34104720696513663,0.5086281902570018,0.09873344848302885
khartoum_160,Khartoum,456,DeepLabv3+ ResNet50,3.461405330444396e-11,3.461405330444396e-11,4.666355576077165e-11
khartoum_162,Khartoum,456,DeepLabv3+ ResNet50,5.861664712434838e-11,5.861664712434838e-11,7.993605115268296e-11
khartoum_164,Khartoum,456,DeepLabv3+ ResNet50,0.003691100088770419,0.0073550519438848674,0.013358778634920403
khartoum_165,Khartoum,456,DeepLabv3+ ResNet50,0.3231248264076438,0.4884268210499404,0.2737785144870401
khartoum_166,Khartoum,456,DeepLabv3+ ResNet50,0.021668108005403013,0.042417117330070045,0.06572073525272028
khartoum_17,Khartoum,456,DeepLabv3+ ResNet50,0.3117226080774508,0.4752873910340535,0.14897634665499415
